name,price,price_old,sale,url
Диван угловой Аронт Мини Velvet Olive,56 990,71 990,-20%,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-olive
Диван Кинси-2 Land Light,48 990,54 990,-10%,https://www.divan.ru/product/divan-kinsi-2-land-light
Диван Льери Velvet Grey,69 990,100 990,-30%,https://www.divan.ru/product/divan-leri-velvet-grey
Диван угловой Ройн Мини Velvet Grey,39 990,56 990,-29%,https://www.divan.ru/product/divan-uglovoj-rojn-mini-velvet-grey
Диван Биани Barhat Night,69 990,93 990,-25%,https://www.divan.ru/product/divan-biani-barhat-night
Диван Ольен Мини Velvet Emerald,52 990,81 990,-35%,https://www.divan.ru/product/divan-olen-mini-velvet-emerald
Диван Бонс-Т Velvet Silver,39 990,66 990,-40%,https://www.divan.ru/product/divan-bons-t-velvet-silver
Модульный диван Этен 6 Vertical Light,82 960,108 960,-23%,https://www.divan.ru/product/modulnyj-divan-eten-6-vertical-light
Диван угловой Амрано Velvet Stone,40 990,63 990,-35%,https://www.divan.ru/product/divan-uglovoj-amrano-velvet-stone
Диван Эрвин-2 White,27 990,0,нет скидки,https://www.divan.ru/product/divan-ervin-2-white
Модульный диван Полан-3 Velvet Terra,73 960,82 960,-10%,https://www.divan.ru/product/modulnyj-divan-polan-3-velvet-terra
Диван Кейсес Velvet Latte,24 990,33 290,-24%,https://www.divan.ru/product/divan-kejses-velvet-latte
Диван угловой Маркфул Velvet Light,79 990,123 990,-35%,https://www.divan.ru/product/divan-uglovoj-markful-velvet-light
Диван угловой Виена Velvet Eclipse,66 990,96 990,-30%,https://www.divan.ru/product/divan-uglovoj-viena-velvet-eclipse
Диван Нумо Velvet Green,35 990,51 190,-29%,https://www.divan.ru/product/divan-numo-velvet-green
Диван Рон Textile Ocean,52 990,56 990,-7%,https://www.divan.ru/product/divan-ron-textile-ocean
Модульный диван Риббл-1 Bucle White,76 980,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-white
Модульный диван Brera-5 Velour Galaxy,120 980,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-brera-5-velour-galaxy
Диван Марей Soft Ginger,89 990,112 990,-20%,https://www.divan.ru/product/divan-marej-soft-ginger
Диван Лачи Velvet Grafit,29 990,39 990,-25%,https://www.divan.ru/product/divan-lachi-velvet-grafit
Диван Биани Barhat Latte,69 990,93 990,-25%,https://www.divan.ru/product/divan-biani-barhat-latte
Диван Арклоу Cozy Storm,49 990,0,нет скидки,https://www.divan.ru/product/divan-arklou-cozy-storm
